Green frogs,RoadDistanceR,ShoreR,VegetationR,AcessR,UseR,PollutionR,SurfaceR,Brown frogs,TypeR,BuildingR,FishingR
1,1,natural,3,100,0,0,300,1,h,1,0
0,2,natural,2,100,0,0,300,1,i,1,0
1,10,natural,3,100,0,0,300,1,g,10,0
0,0,natural,1,50,1,0,200,0,d,0,0
0,2,natural,1,100,0,0,1000,1,h,9,0
1,1,natural,0,100,3,0,1800,1,a,2,2
1,5,natural,2,100,0,0,50,1,a,5,0
0,5,concrete,0,100,3,0,1100,0,d,1,3
1,2,natural,0,75,3,0,1600,1,a,1,1
1,2,natural,1,100,3,0,100,0,d,1,0
0,1,natural,3,100,0,0,300,1,h,2,0
1,5,natural,1,100,0,0,300,0,j,5,0
0,5,natural,4,100,0,0,100,0,g,5,0
1,2,natural,1,100,3,0,80000,1,a,2,4
1,1,natural,3,100,0,0,8250,1,a,2,0
1,5,natural,1,100,0,0,300,1,j,5,0
0,2,natural,2,100,0,0,300,1,j,5,0
0,1,natural,3,100,0,0,300,1,h,0,0
1,0,natural,3,75,0,0,500,1,a,1,0
1,5,natural,0,100,3,0,31000,1,a,5,4
0,5,natural,4,100,0,0,200,0,h,5,0
1,0,natural,3,25,0,0,300,1,a,0,0
1,2,natural,2,100,3,0,600,1,d,2,2
1,1,natural,2,100,0,0,16000,1,a,5,2
1,1,natural,4,100,0,0,1000,0,a,1,0
1,1,natural,0,75,0,0,3400,0,b,1,0
0,1,natural,3,100,0,0,300,1,h,1,0
1,0,natural,3,100,0,0,1000,1,a,1,0
0,1,natural,2,100,0,0,400,1,a,5,0
1,2,natural,1,100,0,2,1700,1,a,2,1
1,2,natural,3,100,0,0,30000,1,a,10,0
1,1,natural,0,100,3,0,350,1,a,1,3
0,1,natural,4,100,0,0,4000,1,h,1,0
0,5,natural,4,100,0,0,100,1,h,5,0
0,1,natural,2,100,0,0,1000,0,a,1,0
1,1,natural,1,100,3,0,360000,1,a,1,4
1,0,natural,0,75,3,0,1000,0,a,0,3
0,1,natural,2,100,0,0,100,1,a,1,0
1,9,natural,2,100,0,0,9000,1,a,9,1
0,1,natural,1,75,3,0,200,1,d,1,4
1,2,natural,2,100,0,0,2300,1,a,1,0
1,5,natural,3,100,0,0,300,1,i,5,0
0,1,natural,1,100,0,2,300,1,j,1,0
1,0,natural,0,75,3,0,25000,0,a,0,4
1,0,natural,1,100,0,0,150,1,a,1,1
0,5,natural,4,100,0,0,7000,0,a,5,0
1,0,natural,0,50,3,0,300,1,a,0,3
0,1,natural,0,100,3,0,500,0,a,2,3
1,5,natural,2,100,0,2,300,0,a,5,0
1,2,natural,4,100,0,0,200,0,a,1,0
1,5,natural,1,100,0,0,1000,1,a,5,0
1,5,natural,3,100,1,0,30000,1,a,5,0
1,1,natural,2,100,3,0,200,1,d,1,0
0,0,natural,1,75,0,0,200,1,a,0,0
1,1,natural,0,75,3,0,2400,0,a,1,4
1,0,natural,2,50,0,0,2600,1,a,0,0
1,1,natural,0,100,1,0,9000,0,b,1,2
0,0,natural,4,100,0,0,200,1,h,0,0
0,1,natural,1,75,3,0,700,1,d,1,1
1,0,natural,1,100,3,0,28300,1,a,0,2
1,10,natural,4,100,0,0,100,1,g,10,0
1,1,natural,1,100,0,0,200,1,a,1,0
1,0,natural,2,100,3,0,15000,1,a,1,3
1,1,natural,1,80,3,0,4000,1,a,1,2
1,5,natural,3,100,0,0,4300,1,a,5,0
1,2,natural,2,100,3,0,8300,1,a,2,3
0,0,natural,2,100,0,0,400,1,a,1,0
1,1,natural,2,100,0,0,700,1,d,1,0
1,0,natural,1,50,3,0,7000,0,a,0,4
0,2,natural,1,100,0,0,300,1,i,0,0
1,0,natural,1,100,1,0,2300,1,a,0,3
1,1,natural,2,100,0,0,2400,1,a,1,1
1,1,natural,3,75,3,0,500000,1,a,1,3
0,5,natural,1,100,0,0,300,1,i,5,0
1,2,natural,1,75,3,0,19300,1,a,0,3
1,5,natural,1,100,3,0,450,1,a,2,3
1,2,natural,2,100,0,0,3500,1,a,2,0
1,2,natural,3,100,0,0,3500,1,a,2,0
1,2,natural,0,100,0,0,6300,1,a,1,0
0,0,natural,2,75,0,0,300,1,i,2,0
1,1,natural,1,50,3,0,2300,1,a,0,3
0,5,natural,4,100,0,0,300,1,h,5,0
0,1,natural,1,100,0,0,300,1,j,1,0
1,1,natural,1,100,3,0,40000,1,a,1,4
1,9,natural,1,100,3,0,4500,1,a,9,2
0,1,natural,1,100,0,0,300,1,i,1,0
0,1,natural,1,100,0,0,300,0,j,1,0
1,0,natural,0,50,0,0,3500,1,b,0,0
0,0,natural,4,50,0,0,600,0,a,0,0
0,0,natural,4,99,0,0,600,1,a,5,0
1,2,natural,0,100,3,0,4000,1,a,1,4
1,5,natural,3,100,0,0,10000,1,a,5,1
0,0,natural,1,75,0,0,300,1,j,5,0
0,0,natural,3,100,0,0,7000,1,a,1,0
1,0,natural,3,25,0,0,1700,1,a,0,0
0,9,natural,1,100,0,0,300,1,j,5,0
1,0,natural,2,50,3,0,2600,1,a,1,2
1,5,natural,3,100,0,0,3000,1,a,2,0
1,0,natural,3,50,0,0,2000,1,a,0,0
0,0,natural,3,100,0,0,1700,1,a,0,0
0,2,natural,4,99,0,0,300,1,a,2,0
1,2,natural,3,100,0,0,300,1,a,1,0
1,2,natural,1,100,0,0,250,1,e,5,0
1,2,natural,4,100,0,0,50000,1,a,2,0
0,5,natural,2,100,0,0,10050,1,a,5,1
0,2,natural,3,100,0,0,1000,0,a,5,0
0,0,natural,2,75,0,0,1000,0,a,0,0
0,9,natural,1,100,0,0,100,1,a,9,0
0,1,natural,4,75,0,0,200,1,h,0,0
1,1,natural,1,25,0,0,450,1,a,1,1
1,5,natural,1,100,3,0,40000,1,a,0,2
0,5,natural,3,100,0,0,300,0,a,1,0
0,0,natural,1,50,0,0,50,1,a,0,0
0,2,natural,0,100,3,0,1100,1,a,2,4
1,5,natural,4,100,0,0,500,1,a,5,0
1,1,natural,1,100,3,0,26000,1,a,2,4
1,1,natural,2,100,0,0,350,1,a,1,0
0,9,natural,3,100,0,0,8000,1,a,9,0
0,0,natural,4,50,0,0,600,1,a,0,0
0,0,natural,3,75,0,0,2500,1,a,2,0
0,1,natural,1,50,0,0,750,1,d,0,1
0,2,natural,1,100,0,0,300,1,a,2,0
0,1,natural,3,100,0,0,200,1,h,2,0
0,2,natural,2,50,0,0,300,1,h,5,0
1,2,natural,2,100,3,0,29000,1,a,0,3
0,0,natural,0,75,0,0,10000,1,a,0,1
0,5,natural,1,100,0,0,300,0,j,5,0
1,5,natural,4,100,0,0,80000,0,h,5,0
0,2,natural,3,75,0,0,2300,1,h,1,0
1,5,natural,3,100,0,0,3000,1,a,5,1
1,5,natural,2,100,0,0,300,1,i,5,0
1,5,natural,0,100,3,0,5000,1,a,5,2
1,2,natural,1,100,3,0,1500,1,a,2,3
1,5,natural,4,100,0,0,2500,1,a,1,0
1,1,natural,4,100,0,0,100,0,a,2,0
1,1,natural,1,100,3,0,600,1,a,0,1
0,0,natural,0,100,0,0,300,1,j,1,0
0,1,natural,1,100,0,0,300,1,j,1,0
0,0,natural,1,100,0,0,300,0,j,2,0
0,5,natural,2,100,1,0,1500,1,b,0,2
0,5,natural,4,100,0,0,1000,1,h,9,0
1,10,natural,3,100,0,0,300,1,g,10,0
1,1,natural,1,50,3,0,7000,0,a,5,3
1,5,natural,1,100,0,0,1400,1,a,5,0
0,1,natural,1,100,1,0,300,1,j,1,0
0,1,natural,1,100,0,0,300,1,j,1,0
1,5,natural,4,100,0,0,1900,1,h,5,0
0,1,natural,0,100,3,0,1300,1,a,1,1
0,0,natural,3,50,0,0,2100,0,a,1,0
0,2,natural,4,100,0,0,300,1,h,5,0
1,0,natural,3,75,0,0,2500,1,a,0,0
0,5,natural,3,100,0,0,3300,1,a,5,0
1,5,natural,4,100,0,0,500,1,h,5,0
1,5,natural,3,100,0,0,4000,1,a,5,0
0,0,natural,1,100,0,0,300,1,j,1,0
1,0,natural,2,100,3,0,8000,1,a,2,2
1,0,natural,0,25,3,0,1500,0,a,0,0
1,5,natural,0,100,3,0,9100,0,a,5,3
0,1,natural,2,75,0,0,1000,1,i,2,0
1,0,natural,3,100,0,0,2500,0,a,1,1
1,2,natural,2,100,0,2,100,0,a,2,0
1,2,natural,1,100,0,0,500,1,i,2,0
0,2,natural,3,100,0,0,300,1,h,0,0
1,1,natural,0,100,1,0,350,1,a,1,3
0,9,natural,3,100,0,0,300,1,j,9,0
0,2,natural,1,75,1,0,400,0,d,0,0
1,2,natural,1,100,3,0,900,1,a,2,2
1,0,natural,0,100,3,0,115000,1,a,1,4
1,1,concrete,3,50,0,1,200,1,a,1,0
1,0,natural,4,100,0,0,22000,1,a,0,0
